idPalavra;palavra;descricao;imagem;
NULL;Download;O Download (baixar, em uma tradução simples) é um termo que corresponde à ação de transferir dados de um computador remoto para um computador local. Essa cópia de arquivos pode ser feita tanto a partir de servidores dedicados (como FTP, por exemplo), quanto pelo simples acesso a uma página da Internet no navegador.;download;https://www.techtudo.com.br/noticias/2012/05/o-que-e-download.ghtml
NULL;EFI;A partição de sistema EFI (em inglês EFI system partition, abreviado como ESP) é uma partição independente do sistema operacional que atua como o local de armazenamento para os gerenciadores de boot, aplicativos e drivers EFI a serem lançados pelo firmware UEFI.;efi;https://www.infowester.com/efi.php
NULL;Emulador;Emuladores são uma classe de software de computador que permite a um sistema operacional simular um sistema operacional diferente, a fim de executar um aplicativo destinado a este outro sistema.;emulador;https://mktesports.com.br/blog/games/o-que-e-emulador/
NULL;Fan;Fan ou exaustor é um ventilador que serve para empurrar o ar quente do computador para fora do gabinete.;fan;https://pebmed.com.br/o-exame-fan-deu-positivo-como-proceder/#:~:text=O%20fator%20antinuclear%20(FAN)%2C,h%C3%A1%20suspeita%20de%20doen%C3%A7as%20autoimunes.
NULL;File;Um arquivo de computador(File) ou ficheiro de computador é um recurso para armazenamento de informação, que está disponível a um programa de computador e é normalmente baseado em algum tipo de armazenamento durável.;file;https://www.qnapbrasil.com.br/blog/post/file-server#:~:text=Um%20file%20server%20%C3%A9%20caracterizado,como%20computadores%2C%20tablets%20e%20smartphones.
NULL;Firewall;O firewall atua como um filtro entre um dispositivo e sua conexão com a internet ou com a rede externa. Na prática, decide o tráfego de rede que poderá passar ou será considerado perigoso. É a ferramenta que faz o juízo de valor entre confiável ou não confiável.;firewall;https://www.cisco.com/c/pt_br/products/security/firewalls/what-is-a-firewall.html
NULL;fonte;É o componente que fornece energia para o funcionamento do computador.;fonte;https://www.tecmundo.com.br/fonte/20987-o-que-e-uma-fonte-de-energia-e-como-ela-e-por-dentro.htm#:~:text=A%20fonte%20de%20energia%20do,suportadas%20pelos%20componentes%20do%20computador.
NULL;FrameWork;Framework é um termo inglês que, em sua tradução direta, significa estrutura. De maneira geral, essa estrutura é feita para resolver um problema específico. Na programação, um framework é um conjunto de códigos genéricos capaz de unir trechos de um projeto de desenvolvimento.;framework;https://www.lewagon.com/pt-BR/blog/o-que-e-framework
NULL;Gabinete;O gabinete é o componente de hardware usado para alocar a maioria das peças de um computador. É dentro dele que são colocados componentes como CPU, placa-mãe, SSD, placa de vídeo e fonte.;gabinete;https://tecnomais.net/o-que-e-gabinete/
NULL;Git;O Git é um projeto de código aberto maduro e com manutenção ativa desenvolvido em 2005 por Linus Torvalds, o famoso criador do kernel do sistema operacional Linux. Um número impressionante de projetos de software depende do Git para controle de versão, incluindo projetos comerciais e de código-fonte aberto.;git;https://kenzie.com.br/blog/o-que-e-git/
NULL;GitHub;O GitHub é o maior repositório de dados compartilhado do mundo, com 28 milhões de usuários atualmente. É uma plataforma majoritariamente usada por desenvolvedores, pois permite uma hospedagem prática de código-fonte e arquivos em nuvem.;github;https://www.hostinger.com.br/tutoriais/o-que-github
